Product_name,Product_Link,Rating,Price
,,,
"Lenovo Chromebook 14e 14.0"" FHD Business Laptop (AMD 3015Ce Processor/4GB DDR4 RAM/64GB Storage eMMC/AMD Radeon Graphics/Chrome OS/Grey) 82M10019HA",/Lenovo-Chromebook-Business-Processor-82M10019HA/dp/B09NQ9Z2S6,3.2 out of 5 stars,"21,990"
"Lenovo IdeaPad 3 Intel Celeron N4020 14'' HD Thin & Light Laptop (4GB/256GB HDD/Windows 11/MS Office 2021/Platinum Grey/1.5Kg), 81WH007KIN",/Lenovo-IdeaPad-Celeron-Platinum-81WH007KIN/dp/B09MM4FPMR,4.1 out of 5 stars,"31,999"
HP 15s 11th Gen Intel Core i3 15.6 inches(39.6 cm) Laptop ( 8GB RAM/512GB SSD/ Windows 11/ MS Office 2019/ Jet Black/ 1.75kg) - 15s-du3563TU,/HP-inches-Laptop-Windows-Office/dp/B09KM1BVFH,3.8 out of 5 stars,"41,990"
,/Lenovo-Windows10-Fingerprint-Aluminium-82FG00BPIN/dp/B08P3LVRL8,4.0 out of 5 stars,"69,788"
HP 15s 11th Gen Intel Core i3 15.6 inches Laptop (8GB RAM/512GB SSD/ Windows 11/ MS Office/ Natural Silver/ 1.75kg) - 15s-du3564TU,/HP-inches-Laptop-Windows-Natural/dp/B09KLZJDT6,4.1 out of 5 stars,"44,490"
"Lenovo IdeaPad 3 AMD 3020e 14'' HD Thin & Light Laptop (4GB/256GB SSD/Windows 11/Office 2021/Platinum Grey/1.6Kg), 81W000UPIN",/Lenovo-IdeaPad-Windows-Platinum-81W000UPIN/dp/B09NP6VN8Q,3.6 out of 5 stars,"27,990"
"Lenovo IdeaPad Slim 1 Intel Celeron N4020 11.6"" (29.46cm) HD Thin & Light Laptop (4GB/256 GB SSD/Windows 10/MS Office/Platinum Grey/1.2Kg), 81VT0071IN",/Lenovo-IdeaPad-Celeron-Platinum-81VT0071IN/dp/B09G9ZPV38,4.1 out of 5 stars,"27,490"
"Lenovo IdeaPad 3 10th Gen Intel Core i3 15.6 HD Thin and Light Laptop (8GB/1TB HDD/Windows 11/MS Office 2021/2Yr Warranty/Platinum Grey/1.7Kg), 81WB01BCIN",/Lenovo-IdeaPad-Warranty-Platinum-81WB01BCIN/dp/B09MKMT64V,3.8 out of 5 stars,"37,490"
"AVITA Cosmos 2 in 1 Intel Celeron Dual Core 11.6 inches (4 GB/64 GB EMMC Storage/Windows 10 Home) NS12T5IN021P 2 in 1 Laptop (Charcoal Grey, 1.327 kg)",/AVITA-Celeron-Storage-NS12T5IN021P-Charcoal/dp/B09HKBR46P,3.7 out of 5 stars,"15,490"
"Dell Vostro 3401 14"" FHD Anti Glare Display Laptop / i3-1005G1 / 8GB / 1TB / Integrated Graphics / Win 10 + Office H&S/ Black) D552149WIN9BE",/Dell-i3-1005G1-Integrated-Graphics-D552149WIN9BE/dp/B08MQ7QKHJ,3.7 out of 5 stars,"37,990"
"HP Pavilion 14, Intel 11th Gen Core i5 16GB RAM/512GB SSD 14-inch Laptop, FHD Micro-Edge Anti-Glare Display/Iris Xᵉ Graphics/Backlit KB/B&O Audio/Fingerprint Reader/Windows 11/1.41kg, 14-dv1001TU",/HP-Micro-Edge-Anti-Glare-Fingerprint-14-dv1001TU/dp/B09MH5MLYP,4.4 out of 5 stars,"67,490"
"Dell 15 (2021) AMD Ryzen 3-3250U Laptop, 8GB DDR4, 256GB SSD, Windows 10 + MS Office, Radeon Graphics, 15.6 inches FHD Display, Carbon Black (Inspiron 3515, D560523WIN9BE), 1.8kg",/Dell-Graphics-Inspiron-3515-D560523WIN9BE/dp/B09F3QJF4W,3.6 out of 5 stars,
"HP Chromebook 14 inches Thin & Light Touchscreen Laptop (Intel Celeron N4020/4GB/64GB eMMC + 256GB Expandable Storage/Chrome OS/1.46 kgs Light/ Mineral Silver), 14a-na0003TU",/HP-Chromebook-14a-na0003TU-Touchscreen-Expandable/dp/B08C5W6PL2,3.7 out of 5 stars,"26,490"
"Lenovo V15 Intel Celeron N4020 15.6"" FHD (1080p)(39.62 cm) HD Thin and Light Laptop (4GB RAM/1 TB HDD / DOS /Iron Grey/1 Year Onsite Warranty/1.7 kg), 82C30052IH",/Lenovo-Celeron-Laptop-Warranty-82C30052IH/dp/B09HHL3BNR,3.3 out of 5 stars,"28,460"
"Dell 15 (2021) PQC-N5030, 4GB, 256GB SSD, Win 11 + MS Office'21, Integrated Graphics, 15.6"" (39.62 cms) HD Display, Carbon Black (Inspiron 3510, D560717WIN9B)",/Dell-Integrated-Inspiron-3510-D560717WIN9B/dp/B09NLR1TWF,,"30,990"
"Dell 15 (2021) AMD Ryzen 3-3250U Laptop, 8GB, 256GB SSD, Windows 10 + MS Office, Radeon Graphics, 15.6 inches FHD Display, Soft Mint Color (Inspiron 3505, D560618WIN9SE), 1.83kg",/Dell-Graphics-Inspiron-3505-D560618WIN9SE/dp/B09F3RFWZL,4.2 out of 5 stars,"39,990"
